pass,N,L_us,W,iters_per_ns,ticks,overruns,overrun_pct,drain_p50,drain_p90,drain_p99,tick_p50,tick_p90,tick_p99,flush_p50,flush_p90,flush_p99,wakes_p50,wakes_p90,wakes_p99,closes,achieved,lat_p50,lat_p90,lat_p99,lag_p99,server_cpu,verdict
1,300,0,64,0.57,662,0,0.00,0.474,2.421,7.070,0.001,0.002,0.031,4.522,13.339,19.803,299,301,301,0,90015,0.026,0.598,7.832,2.635,30,VOID
1,300,10,64,0.56,664,0,0.00,0.418,1.327,3.533,2.945,3.708,10.597,4.081,8.938,15.610,275,276,276,0,90097,0.025,1.392,10.511,2.703,32,VOID
1,300,30,64,0.57,660,2,0.30,0.433,1.215,3.249,9.030,15.444,25.250,3.486,7.460,12.364,218,220,220,0,90015,0.039,8.138,21.898,1.350,51,OK
1,300,100,64,0.57,619,29,4.68,0.250,0.309,3.632,29.740,30.331,58.159,0.886,1.006,16.728,28,30,249,0,90015,13.857,28.050,54.731,3.703,94,OK
1,1000,0,64,0.57,663,0,0.00,1.268,3.116,7.646,0.004,0.008,0.011,14.383,21.423,24.386,983,996,1000,0,300079,0.023,0.339,11.330,3.718,60,VOID
1,1000,10,64,0.57,661,2,0.30,1.151,2.279,5.955,10.099,17.860,26.975,10.200,13.138,16.030,649,672,677,0,300079,0.058,12.244,38.132,4.823,77,OK
1,1000,30,64,0.43,634,25,3.94,0.936,1.101,6.814,22.932,23.699,42.573,4.903,5.327,21.114,241,257,362,0,300079,8.571,21.579,51.176,4.350,91,OK
1,1000,100,64,0.57,182,149,81.87,2.655,4.291,11.064,100.476,106.309,183.749,14.146,15.853,21.800,851,871,879,0,300070,42.315,96.602,167.544,4.839,93,OK
1,3000,0,64,0.57,666,0,0.00,2.621,8.871,14.290,0.014,0.025,0.053,29.904,30.272,30.363,606,693,710,0,900535,0.069,11.498,40.158,8.131,102,VOID
1,3000,10,64,0.57,635,29,4.57,1.299,1.635,15.337,29.965,30.586,55.280,1.825,2.362,22.719,2,3,146,0,900110,83.653,156.482,196.846,1.067,102,OK
