mode,pass,N,L_us,W,iters_per_ns,ticks,overruns,overrun_pct,drain_p50,drain_p90,drain_p99,tick_p50,tick_p90,tick_p99,flush_p50,flush_p90,flush_p99,wakes_p50,wakes_p90,wakes_p99,closes,achieved,lat_p50,lat_p90,lat_p99,lag_p99,server_cpu,verdict
coalesce,1,300,0,64,0.58,664,0,0.00,0.373,0.490,0.739,0.029,0.033,0.063,0.593,0.635,0.924,296,296,297,0,90015,16.826,30.075,33.538,0.003,6,OK
coalesce,1,300,10,64,0.57,663,0,0.00,0.350,0.445,0.615,3.012,3.101,6.500,0.589,0.639,0.769,269,270,270,0,90015,19.795,33.472,36.435,0.001,15,OK
coalesce,1,300,30,64,0.56,663,0,0.00,0.302,0.606,1.720,8.917,9.346,12.994,0.598,0.738,1.654,216,217,218,0,90015,26.380,39.614,42.451,0.040,34,OK
coalesce,1,300,100,64,0.57,644,17,2.64,0.167,0.204,1.738,29.892,30.469,37.506,0.575,0.672,1.664,26,29,290,0,90015,47.797,61.715,100.735,0.018,92,OK
coalesce,1,1000,0,64,0.59,664,0,0.00,0.952,1.114,2.914,0.101,0.114,0.253,1.951,2.125,4.110,929,938,944,0,300079,17.771,30.787,33.742,0.005,17,OK
coalesce,1,1000,10,64,0.55,664,0,0.00,0.882,1.193,1.972,9.705,10.064,11.555,2.045,2.266,3.143,633,645,652,0,300079,28.136,40.298,43.889,0.007,45,OK
coalesce,1,1000,30,64,0.56,655,10,1.53,0.533,0.651,3.693,29.451,30.282,33.558,2.013,2.299,2.996,32,52,586,0,300079,48.828,62.871,107.493,0.017,98,OK
coalesce,1,1000,100,64,0.56,192,157,81.77,1.724,1.978,6.532,98.927,101.355,146.730,2.407,2.805,6.198,878,897,904,0,300223,169.137,222.690,260.138,0.044,82,OK
coalesce,1,3000,0,64,0.56,668,0,0.00,2.737,4.722,13.574,0.525,0.905,3.085,6.836,9.312,23.988,1447,1546,1570,0,900319,22.732,34.809,57.211,1.020,49,OK
coalesce,1,3000,10,64,0.57,459,183,39.87,0.318,6.071,13.534,30.351,31.728,58.689,0.788,8.758,22.886,1,1771,1933,0,900779,84.938,128.445,172.262,1.777,85,OK
coalesce,1,3000,30,64,0.57,205,170,82.93,4.743,5.461,6.375,91.327,92.571,95.379,7.490,8.659,9.393,663,688,716,0,900579,157.870,207.676,220.476,0.005,88,OK
coalesce,1,3000,100,64,0.57,106,63,59.43,6.271,7.522,8.370,303.583,305.618,308.465,11.093,12.593,13.915,389,500,524,0,900737,480.028,615.179,645.743,0.011,98,OK
coalesce,1,10000,0,64,0.57,669,0,0.00,6.356,12.053,15.373,1.422,2.057,2.797,18.785,24.397,27.774,30,120,974,0,3000508,34.206,59.051,82.717,0.014,101,OK
coalesce,1,10000,10,64,0.43,239,176,73.64,0.378,23.930,29.001,77.514,82.685,133.226,0.735,44.629,52.104,1,671,986,0,3000940,228.878,336.272,731.955,1.841,101,OK
coalesce,1,10000,30,64,0.57,136,67,49.26,0.000,22.580,26.027,0.001,309.042,323.955,0.000,17.271,27.264,1,7,30,0,1555611,999.999+,999.999+,999.999+,,102,VOID
coalesce,1,10000,100,64,0.57,41,25,60.98,0.040,48.045,92.643,642.545,1000.000+,1000.000+,3.275,33.422,36.342,1,7,45,0,186734,0.000+,0.000+,0.000+,,102,VOID
coalesce,2,300,0,64,0.40,663,0,0.00,0.382,0.529,0.849,0.035,0.040,0.064,0.625,0.693,0.959,295,296,297,0,90015,16.848,30.579,33.096,0.003,6,OK
coalesce,2,300,10,64,0.56,663,0,0.00,0.309,0.391,1.576,3.016,3.082,7.677,0.557,0.636,1.280,269,270,270,0,90032,19.885,33.508,36.479,0.008,15,OK
coalesce,2,300,30,64,0.61,664,0,0.00,0.298,0.374,0.592,9.881,10.160,10.479,0.591,0.666,0.813,206,213,216,0,90015,26.772,40.161,43.428,0.003,34,OK
coalesce,2,300,100,64,0.56,662,2,0.30,0.181,0.216,0.285,29.607,30.073,31.192,0.596,0.681,0.828,28,37,40,0,90015,46.491,60.154,63.159,0.004,92,OK
coalesce,2,1000,0,64,0.47,663,0,0.00,1.376,2.445,3.408,0.127,0.240,0.423,2.188,3.110,6.674,912,930,937,0,300079,18.194,31.747,35.522,0.465,24,OK
coalesce,2,1000,10,64,0.56,663,0,0.00,1.073,1.348,1.984,10.021,10.700,11.939,2.191,2.514,3.794,610,627,635,0,300079,28.633,41.418,44.472,0.011,48,OK
coalesce,2,1000,30,64,0.56,653,13,1.99,0.574,0.817,3.406,30.353,31.130,34.003,2.103,2.508,3.195,4,50,887,0,300079,54.931,81.345,114.738,0.009,99,OK
coalesce,2,1000,100,64,0.56,191,157,82.20,2.122,2.595,3.717,100.106,102.515,111.822,2.737,3.429,4.549,856,881,895,0,300079,170.254,224.375,240.354,0.010,81,OK
coalesce,2,3000,0,64,0.56,666,0,0.00,3.425,4.375,5.054,0.494,0.880,0.973,7.394,8.941,12.236,1265,1399,1548,0,900621,21.727,34.456,38.707,0.009,49,OK
coalesce,2,3000,10,64,0.56,459,190,41.39,0.375,6.740,8.758,30.747,31.883,36.029,0.890,9.235,10.772,1,2131,2347,0,900604,83.412,129.064,262.207,0.012,80,OK
coalesce,2,3000,30,64,0.56,204,168,82.35,5.356,6.307,7.850,91.757,93.365,96.380,8.087,9.619,10.426,934,1136,1214,0,900554,159.394,209.677,222.288,0.003,88,OK
coalesce,2,3000,100,64,0.56,107,62,57.94,7.071,8.821,10.240,305.581,312.669,320.985,12.477,15.334,16.815,363,766,816,0,900517,489.528,626.348,662.885,0.023,98,OK
coalesce,2,10000,0,64,0.56,671,0,0.00,3.686,20.001,22.973,0.990,3.899,5.121,10.875,30.124,34.451,16,704,1122,0,3000450,47.438,75.669,91.950,0.033,98,OK
coalesce,2,10000,10,64,0.56,205,154,75.12,0.523,27.135,28.093,103.422,110.788,113.443,1.198,51.180,57.408,1,61,457,0,2999014,286.881,411.100,469.288,0.070,100,OK
coalesce,2,10000,30,64,0.55,127,71,55.91,3.893,26.538,31.092,294.293,307.027,329.882,4.927,14.966,36.809,2,6,38,0,1193787,999.999+,999.999+,999.999+,,100,VOID
coalesce,2,10000,100,64,0.56,42,26,61.90,9.512,44.488,57.102,804.983,1000.000+,1000.000+,3.664,16.958,34.056,1,7,14,0,178959,998.794+,998.794+,998.794+,,100,VOID
